time,properties.taxi_count,day_of_week,minute,hour,sector_1,sector_2,sector_3,sector_4,sector_5,sector_6,sector_7,sector_8,sector_9
2019-01-01 00:00:00,5887,1,0,0,167,979,81,408,3507,678,0,67,0
2019-01-01 00:05:00,4001,1,5,0,102,496,39,251,2589,471,0,53,0
2019-01-01 00:10:00,5981,1,10,0,157,1035,69,417,3546,680,0,77,0
2019-01-01 00:15:00,5461,1,15,0,158,920,68,375,3225,654,0,61,0
2019-01-01 00:20:00,5003,1,20,0,136,900,62,358,2898,596,0,53,0
2019-01-01 00:25:00,4527,1,25,0,130,804,65,354,2610,528,0,36,0
2019-01-01 00:30:00,4077,1,30,0,132,742,49,315,2349,452,0,38,0
2019-01-01 00:35:00,3765,1,35,0,145,785,40,311,2065,391,0,28,0
2019-01-01 00:40:00,3526,1,40,0,149,778,46,315,1852,362,0,24,0
2019-01-01 00:45:00,3324,1,45,0,162,759,46,344,1642,353,0,18,0
2019-01-01 00:50:00,3277,1,50,0,173,842,46,340,1528,334,0,14,0
2019-01-01 00:55:00,3203,1,55,0,182,842,43,357,1438,321,0,20,0
2019-01-01 01:00:00,3197,1,0,1,168,886,44,360,1401,310,0,28,0
2019-01-01 01:05:00,2975,1,5,1,156,786,47,357,1337,269,0,23,0
2019-01-01 01:10:00,2632,1,10,1,161,700,41,325,1147,238,0,20,0
2019-01-01 01:15:00,3387,1,15,1,205,998,51,416,1354,343,0,20,0
2019-01-01 01:20:00,3489,1,20,1,209,1028,59,444,1403,333,0,13,0
2019-01-01 01:25:00,3590,1,25,1,206,1041,60,439,1480,347,0,17,0
2019-01-01 01:30:00,3519,1,30,1,212,1037,59,420,1442,326,0,23,0
2019-01-01 01:35:00,3276,1,35,1,196,956,58,397,1328,323,0,18,0
2019-01-01 01:40:00,3559,1,40,1,201,1071,63,437,1430,332,1,24,0
2019-01-01 01:45:00,3652,1,45,1,197,1081,63,500,1450,339,0,22,0
2019-01-01 01:50:00,3688,1,50,1,198,1104,61,510,1455,342,0,18,0
2019-01-01 01:55:00,3708,1,55,1,222,1115,68,463,1443,375,0,22,0
2019-01-01 02:00:00,3822,1,0,2,224,1165,75,487,1436,414,0,21,0
2019-01-01 02:05:00,3868,1,5,2,201,1196,72,510,1445,423,0,21,0
2019-01-01 02:10:00,3883,1,10,2,235,1162,66,494,1492,414,1,19,0
2019-01-01 02:15:00,3886,1,15,2,215,1148,70,504,1520,407,0,22,0
2019-01-01 02:20:00,3806,1,20,2,214,1129,82,518,1451,400,0,12,0
2019-01-01 02:25:00,3896,1,25,2,221,1148,69,559,1464,415,0,20,0
2019-01-01 02:30:00,3903,1,30,2,232,1180,73,547,1480,382,0,9,0
2019-01-01 02:35:00,3884,1,35,2,253,1147,83,550,1464,373,0,14,0
2019-01-01 02:40:00,4003,1,40,2,230,1191,76,592,1539,360,1,14,0
2019-01-01 02:45:00,4034,1,45,2,244,1218,81,590,1537,352,0,12,0
2019-01-01 02:50:00,4116,1,50,2,223,1243,66,590,1588,385,0,21,0
2019-01-01 02:55:00,4196,1,55,2,221,1231,66,607,1641,412,2,16,0
2019-01-01 03:00:00,4195,1,0,3,227,1228,69,587,1649,423,0,12,0
2019-01-01 03:05:00,4151,1,5,3,223,1220,80,584,1599,431,1,13,0
2019-01-01 03:10:00,4163,1,10,3,228,1182,89,570,1667,414,0,13,0
2019-01-01 03:15:00,4098,1,15,3,222,1199,86,572,1564,437,0,18,0
2019-01-01 03:20:00,4127,1,20,3,223,1200,94,577,1553,468,0,12,0
2019-01-01 03:25:00,4001,1,25,3,216,1202,74,556,1473,465,0,15,0
2019-01-01 03:30:00,4026,1,30,3,225,1234,73,563,1430,484,0,17,0
2019-01-01 03:35:00,4000,1,35,3,217,1210,77,549,1487,449,0,11,0
2019-01-01 03:40:00,4046,1,40,3,221,1223,71,543,1491,487,0,10,0
2019-01-01 03:45:00,4021,1,45,3,219,1220,70,533,1488,482,0,9,0
2019-01-01 03:50:00,3983,1,50,3,231,1220,66,516,1437,503,0,10,0
2019-01-01 03:55:00,3991,1,55,3,222,1180,80,554,1465,481,0,9,0
2019-01-01 04:00:00,4002,1,0,4,239,1177,78,570,1440,490,0,8,0
2019-01-01 04:05:00,3958,1,5,4,229,1211,75,508,1442,485,0,8,0
2019-01-01 04:10:00,3957,1,10,4,214,1213,81,517,1436,487,0,9,0
2019-01-01 04:15:00,3940,1,15,4,225,1180,83,503,1479,461,0,9,0
2019-01-01 04:20:00,3897,1,20,4,242,1143,66,509,1451,477,0,9,0
2019-01-01 04:25:00,3817,1,25,4,217,1119,60,513,1429,475,0,4,0
2019-01-01 04:30:00,3866,1,30,4,214,1121,66,524,1441,496,0,4,0
2019-01-01 04:35:00,3831,1,35,4,231,1119,76,506,1408,486,0,5,0
2019-01-01 04:40:00,3743,1,40,4,230,1109,86,484,1324,506,0,4,0
2019-01-01 04:45:00,3720,1,45,4,215,1103,77,495,1293,530,0,7,0
2019-01-01 04:50:00,3718,1,50,4,221,1067,84,513,1274,550,0,9,0
2019-01-01 04:55:00,3731,1,55,4,202,1076,74,519,1284,571,0,5,0
2019-01-01 05:00:00,3743,1,0,5,227,1067,74,505,1288,576,0,6,0
2019-01-01 05:05:00,3705,1,5,5,220,1066,78,466,1251,617,0,7,0
2019-01-01 05:10:00,3724,1,10,5,211,1098,76,488,1216,628,0,7,0
2019-01-01 05:15:00,3666,1,15,5,199,1092,68,472,1230,598,0,7,0
2019-01-01 05:20:00,3573,1,20,5,197,1054,74,459,1215,568,0,6,0
2019-01-01 05:25:00,3546,1,25,5,194,1049,66,450,1209,570,0,8,0
2019-01-01 05:30:00,3434,1,30,5,203,1023,70,444,1142,548,0,4,0
2019-01-01 05:35:00,3388,1,35,5,201,1014,65,449,1110,543,0,6,0
2019-01-01 05:40:00,3410,1,40,5,215,1013,68,462,1120,525,0,7,0
2019-01-01 05:45:00,3430,1,45,5,218,1043,66,475,1095,526,0,7,0
2019-01-01 05:50:00,3440,1,50,5,226,1053,65,458,1089,544,0,5,0
2019-01-01 05:55:00,3449,1,55,5,241,1066,76,437,1107,517,0,5,0
2019-01-01 06:00:00,3384,1,0,6,228,1066,65,442,1060,519,0,4,0
2019-01-01 06:05:00,3101,1,5,6,216,946,66,409,939,523,0,2,0
2019-01-01 06:10:00,3212,1,10,6,218,993,61,414,961,562,0,3,0
2019-01-01 06:15:00,3077,1,15,6,200,973,54,374,949,523,0,4,0
2019-01-01 06:20:00,3044,1,20,6,184,971,58,385,887,552,0,7,0
2019-01-01 06:25:00,3058,1,25,6,175,951,54,411,873,589,0,5,0
2019-01-01 06:30:00,3055,1,30,6,170,947,55,410,869,600,0,4,0
2019-01-01 06:35:00,2677,1,35,6,126,793,44,390,737,580,0,7,0
2019-01-01 06:40:00,3025,1,40,6,145,887,57,430,870,629,0,7,0
2019-01-01 06:45:00,3065,1,45,6,150,877,66,420,903,644,0,5,0
2019-01-01 06:50:00,3137,1,50,6,155,901,72,452,906,647,0,4,0
2019-01-01 06:55:00,3179,1,55,6,168,908,67,474,942,617,0,3,0
2019-01-01 07:00:00,3254,1,0,7,172,942,58,496,939,643,0,4,0
2019-01-01 07:05:00,3347,1,5,7,178,933,71,487,984,684,0,10,0
2019-01-01 07:10:00,3390,1,10,7,182,944,69,481,990,716,0,8,0
2019-01-01 07:15:00,3428,1,15,7,192,952,68,493,985,731,0,7,0
2019-01-01 07:20:00,3437,1,20,7,182,973,69,486,976,744,1,6,0
2019-01-01 07:25:00,3438,1,25,7,179,999,72,467,1004,709,1,7,0
2019-01-01 07:30:00,3546,1,30,7,188,997,87,493,1045,731,0,5,0
2019-01-01 07:35:00,3208,1,35,7,157,864,77,472,945,689,0,4,0
2019-01-01 07:40:00,3675,1,40,7,189,1014,94,528,1063,781,2,4,0
2019-01-01 07:45:00,3694,1,45,7,193,1023,93,520,1069,794,0,2,0
2019-01-01 07:50:00,3719,1,50,7,210,999,96,554,1085,770,0,5,0
2019-01-01 07:55:00,3838,1,55,7,197,1026,92,557,1144,814,0,8,0
2019-01-01 08:00:00,3992,1,0,8,192,1057,102,596,1171,868,1,5,0
2019-01-01 08:05:00,3833,1,5,8,201,974,100,569,1147,834,0,8,0
2019-01-01 08:10:00,4198,1,10,8,224,1104,109,609,1257,881,1,13,0
2019-01-01 08:15:00,4247,1,15,8,208,1149,103,605,1347,825,0,10,0
2019-01-01 08:20:00,4291,1,20,8,208,1183,98,593,1360,835,0,14,0
2019-01-01 08:25:00,4394,1,25,8,217,1212,110,596,1412,836,0,11,0
2019-01-01 08:30:00,4433,1,30,8,221,1205,96,589,1455,855,0,12,0
2019-01-01 08:35:00,4535,1,35,8,235,1203,93,606,1530,857,1,10,0
2019-01-01 08:40:00,4484,1,40,8,231,1183,100,577,1543,839,0,11,0
